panel,group,rho,trial,apl_lcc,lcc_fraction,connected,mean_hypergraph_vertex_degree
gamma,1.5,1.5,0,8.334582852748943,0.9633333333333334,0,3.5233333333333334
gamma,1.5,2.0,0,7.203263055612049,0.9933333333333333,0,4.43
gamma,1.5,2.5,0,6.595744203272654,0.9966666666666667,0,5.316666666666666
gamma,1.5,3.0,0,6.39718524836704,0.9966666666666667,0,6.16
gamma,1.5,3.5,0,6.126555183946488,1.0,1,6.966666666666667
gamma,1.5,4.0,0,6.060847268673355,1.0,1,7.626666666666667
gamma,1.5,4.5,0,5.94891861761427,1.0,1,8.19
gamma,1.5,5.0,0,5.862564102564103,1.0,1,8.766666666666667
gamma,1.5,1.5,1,11.4808289553885,0.8766666666666667,0,3.3833333333333333
gamma,1.5,2.0,1,7.939642510112309,0.9933333333333333,0,4.33
gamma,1.5,2.5,1,7.258327759197324,1.0,1,5.12
gamma,1.5,3.0,1,6.687290969899665,1.0,1,6.006666666666667
gamma,1.5,3.5,1,6.400312151616499,1.0,1,6.763333333333334
gamma,1.5,4.0,1,6.243522853957637,1.0,1,7.44
gamma,1.5,4.5,1,6.056187290969899,1.0,1,8.12
gamma,1.5,5.0,1,5.947447045707915,1.0,1,8.77
gamma,1.5,1.5,2,8.161967771846728,0.9433333333333334,0,3.4566666666666666
gamma,1.5,2.0,2,7.311493311493312,0.99,0,4.553333333333334
gamma,1.5,2.5,2,6.884236343366778,1.0,1,5.403333333333333
gamma,1.5,3.0,2,6.253913043478261,1.0,1,6.346666666666667
gamma,1.5,3.5,2,6.1586399108138234,1.0,1,6.916666666666667
gamma,1.5,4.0,2,5.986421404682274,1.0,1,7.73
gamma,1.5,4.5,2,5.876878483835005,1.0,1,8.463333333333333
gamma,1.5,5.0,2,5.811638795986622,1.0,1,8.996666666666666
gamma,1.5,1.5,3,10.030471134704712,0.9166666666666666,0,3.1233333333333335
gamma,1.5,2.0,3,8.113879981676591,0.9866666666666667,0,4.08
gamma,1.5,2.5,3,7.1001773248636395,0.9966666666666667,0,4.9366666666666665
gamma,1.5,3.0,3,6.766357657516105,0.9966666666666667,0,5.7
gamma,1.5,3.5,3,6.3591973244147155,1.0,1,6.496666666666667
gamma,1.5,4.0,3,6.1696098104793755,1.0,1,7.363333333333333
gamma,1.5,4.5,3,6.040445930880714,1.0,1,8.063333333333333
gamma,1.5,5.0,3,5.941315496098105,1.0,1,8.73
gamma,1.5,1.5,4,10.789728365047454,0.9766666666666667,0,3.4033333333333333
gamma,1.5,2.0,4,8.268837018837019,0.99,0,4.33
gamma,1.5,2.5,4,7.303158178267603,0.9966666666666667,0,5.1066666666666665
gamma,1.5,3.0,4,6.891950947603122,1.0,1,5.876666666666667
gamma,1.5,3.5,4,6.671727982162765,1.0,1,6.636666666666667
gamma,1.5,4.0,4,6.406042363433667,1.0,1,7.27
gamma,1.5,4.5,4,6.051348940914158,1.0,1,8.06
gamma,1.5,5.0,4,5.978127090301004,1.0,1,8.73
gamma,1.5,1.5,5,6.1291199456337075,0.36333333333333334,0,3.13
gamma,1.5,2.0,5,9.37970307097824,0.9933333333333333,0,4.073333333333333
gamma,1.5,2.5,5,7.224843437857736,0.9966666666666667,0,5.0
gamma,1.5,3.0,5,6.986038472761554,0.9966666666666667,0,5.793333333333333
gamma,1.5,3.5,5,6.774581939799331,1.0,1,6.49
gamma,1.5,4.0,5,6.544057971014492,1.0,1,7.183333333333334
gamma,1.5,4.5,5,6.364615384615385,1.0,1,7.84
gamma,1.5,5.0,5,6.171304347826087,1.0,1,8.406666666666666
gamma,1.5,1.5,6,13.33591300452894,0.9466666666666667,0,3.24
gamma,1.5,2.0,6,7.7710490151168115,0.9866666666666667,0,4.123333333333333
gamma,1.5,2.5,6,7.002779472578131,0.9933333333333333,0,5.043333333333333
gamma,1.5,3.0,6,6.539224708760746,0.9966666666666667,0,5.88
gamma,1.5,3.5,6,6.187402452619844,1.0,1,6.666666666666667
gamma,1.5,4.0,6,6.032642140468227,1.0,1,7.463333333333333
gamma,1.5,4.5,6,5.9166332218506135,1.0,1,8.073333333333334
gamma,1.5,5.0,6,5.759665551839465,1.0,1,8.813333333333333
gamma,1.5,1.5,7,9.440551647280072,0.98,0,3.4433333333333334
gamma,1.5,2.0,7,7.510856619331196,0.9866666666666667,0,4.223333333333334
gamma,1.5,2.5,7,7.03041248606466,1.0,1,5.12
gamma,1.5,3.0,7,6.647469342251951,1.0,1,5.843333333333334
gamma,1.5,3.5,7,6.363522853957637,1.0,1,6.556666666666667
gamma,1.5,4.0,7,6.1350947603121515,1.0,1,7.156666666666666
gamma,1.5,4.5,7,5.9626086956521736,1.0,1,7.783333333333333
gamma,1.5,5.0,7,5.781360089186176,1.0,1,8.51
gamma,1.5,1.5,8,9.284024310831343,0.9066666666666666,0,3.2533333333333334
gamma,1.5,2.0,8,7.956356070877554,0.9766666666666667,0,4.176666666666667
gamma,1.5,2.5,8,7.361702611702611,0.99,0,5.036666666666667
gamma,1.5,3.0,8,6.970769230769231,1.0,1,5.743333333333333
gamma,1.5,3.5,8,6.624882943143812,1.0,1,6.573333333333333
gamma,1.5,4.0,8,6.4222519509476035,1.0,1,7.39
gamma,1.5,4.5,8,6.3126644370122635,1.0,1,7.95
gamma,1.5,5.0,8,6.061895206243032,1.0,1,8.593333333333334
gamma,1.5,1.5,9,9.44570411794611,0.9366666666666666,0,3.35
gamma,1.5,2.0,9,7.096243468436661,0.9733333333333334,0,4.3
gamma,1.5,2.5,9,6.832091198254045,0.98,0,5.183333333333334
gamma,1.5,3.0,9,6.435119301474715,0.9966666666666667,0,6.083333333333333
gamma,1.5,3.5,9,6.286243032329989,1.0,1,6.793333333333333
gamma,1.5,4.0,9,5.985953177257525,1.0,1,7.613333333333333
gamma,1.5,4.5,9,5.857123745819398,1.0,1,8.396666666666667
gamma,1.5,5.0,9,5.7671571906354515,1.0,1,9.056666666666667
gamma,1.5,1.5,10,10.663542868127644,0.9633333333333334,0,3.283333333333333
gamma,1.5,2.0,10,8.576778508013374,0.9833333333333333,0,4.14
gamma,1.5,2.5,10,6.912819016408162,0.9966666666666667,0,5.153333333333333
gamma,1.5,3.0,10,6.586092343606204,0.9966666666666667,0,5.886666666666667
gamma,1.5,3.5,10,6.168458620457454,0.9966666666666667,0,6.76
gamma,1.5,4.0,10,5.963567447045708,1.0,1,7.566666666666666
gamma,1.5,4.5,10,5.838795986622074,1.0,1,8.323333333333334
gamma,1.5,5.0,10,5.660758082497213,1.0,1,9.033333333333333
gamma,1.5,1.5,11,9.08168322905165,0.9533333333333334,0,3.566666666666667
gamma,1.5,2.0,11,7.309650559650559,0.99,0,4.546666666666667
gamma,1.5,2.5,11,7.006733855581244,0.9966666666666667,0,5.31
gamma,1.5,3.0,11,6.652241251599291,0.9966666666666667,0,6.15
gamma,1.5,3.5,11,6.285418060200669,1.0,1,6.946666666666666
gamma,1.5,4.0,11,6.089877369007803,1.0,1,7.653333333333333
gamma,1.5,4.5,11,5.97041248606466,1.0,1,8.246666666666666
gamma,1.5,5.0,11,5.848428093645485,1.0,1,8.963333333333333
gamma,1.5,1.5,12,11.211019163763066,0.96,0,3.3433333333333333
gamma,1.5,2.0,12,7.624432241881906,0.9933333333333333,0,4.306666666666667
gamma,1.5,2.5,12,6.710017732486364,0.9966666666666667,0,5.056666666666667
gamma,1.5,3.0,12,6.416286952032502,0.9966666666666667,0,5.8933333333333335
gamma,1.5,3.5,12,6.259041248606466,1.0,1,6.61
gamma,1.5,4.0,12,6.192017837235229,1.0,1,7.226666666666667
gamma,1.5,4.5,12,6.035897435897436,1.0,1,8.096666666666666
gamma,1.5,5.0,12,5.931705685618729,1.0,1,8.773333333333333
gamma,1.5,1.5,13,11.996695475343163,0.9366666666666666,0,3.0766666666666667
gamma,1.5,2.0,13,9.28192983678113,0.98,0,4.18
gamma,1.5,2.5,13,7.38697223406882,0.9966666666666667,0,5.21
gamma,1.5,3.0,13,6.953823857302118,1.0,1,5.93
gamma,1.5,3.5,13,6.622118171683389,1.0,1,6.68
gamma,1.5,4.0,13,6.28628762541806,1.0,1,7.446666666666666
gamma,1.5,4.5,13,6.1179264214046825,1.0,1,8.016666666666667
gamma,1.5,5.0,13,5.971304347826087,1.0,1,8.68
gamma,1.5,1.5,14,10.743175701653211,0.9633333333333334,0,3.4066666666666667
gamma,1.5,2.0,14,7.697425422549438,0.9966666666666667,0,4.35
gamma,1.5,2.5,14,6.8821404682274245,1.0,1,5.17
gamma,1.5,3.0,14,6.545061315496098,1.0,1,5.906666666666666
gamma,1.5,3.5,14,6.342764771460423,1.0,1,6.5
gamma,1.5,4.0,14,6.185863991081383,1.0,1,7.253333333333333
gamma,1.5,4.5,14,6.093132664437012,1.0,1,7.753333333333333
gamma,1.5,5.0,14,5.925239687848383,1.0,1,8.516666666666667
gamma,1.5,1.5,15,13.15438112745098,0.8533333333333334,0,3.2066666666666666
gamma,1.5,2.0,15,7.699524549263287,0.9733333333333334,0,4.176666666666667
gamma,1.5,2.5,15,7.17386845039019,1.0,1,4.933333333333334
gamma,1.5,3.0,15,6.79355629877369,1.0,1,5.68
gamma,1.5,3.5,15,6.586176142697882,1.0,1,6.3533333333333335
gamma,1.5,4.0,15,6.327068004459309,1.0,1,7.13
gamma,1.5,4.5,15,6.2094983277591975,1.0,1,7.753333333333333
gamma,1.5,5.0,15,6.019197324414716,1.0,1,8.43
gamma,1.5,1.5,16,9.51926201294231,0.9,0,3.1333333333333333
gamma,1.5,2.0,16,8.22893347893348,0.99,0,4.056666666666667
gamma,1.5,2.5,16,7.265373467112598,1.0,1,4.953333333333333
gamma,1.5,3.0,16,6.739152731326644,1.0,1,5.776666666666666
gamma,1.5,3.5,16,6.49257525083612,1.0,1,6.386666666666667
gamma,1.5,4.0,16,6.300245261984393,1.0,1,7.18
gamma,1.5,4.5,16,5.91056856187291,1.0,1,7.8933333333333335
gamma,1.5,5.0,16,5.827959866220736,1.0,1,8.59
gamma,1.5,1.5,17,10.601408450704225,0.95,0,3.4366666666666665
gamma,1.5,2.0,17,8.33420832836177,0.9666666666666667,0,4.343333333333334
gamma,1.5,2.5,17,7.345777595777596,0.99,0,5.22
gamma,1.5,3.0,17,6.891103678929766,1.0,1,6.11
gamma,1.5,3.5,17,6.573444816053511,1.0,1,6.8933333333333335
gamma,1.5,4.0,17,6.324258639910814,1.0,1,7.546666666666667
gamma,1.5,4.5,17,6.168160535117057,1.0,1,8.136666666666667
gamma,1.5,5.0,17,6.023188405797101,1.0,1,8.696666666666667
gamma,1.5,1.5,18,9.132545174932718,0.9633333333333334,0,3.27
gamma,1.5,2.0,18,7.92042042042042,0.99,0,4.1
gamma,1.5,2.5,18,6.91067272275326,0.9933333333333333,0,4.99
gamma,1.5,3.0,18,6.5948272017837235,1.0,1,5.89
gamma,1.5,3.5,18,6.476499442586399,1.0,1,6.753333333333333
gamma,1.5,4.0,18,6.3679375696767,1.0,1,7.443333333333333
gamma,1.5,4.5,18,6.164972129319955,1.0,1,8.233333333333333
gamma,1.5,5.0,18,5.964191750278707,1.0,1,9.09
gamma,1.5,1.5,19,10.830831315577079,0.9833333333333333,0,3.21
gamma,1.5,2.0,19,7.902740679221567,0.9966666666666667,0,4.17
gamma,1.5,2.5,19,6.832196209587514,1.0,1,5.1433333333333335
gamma,1.5,3.0,19,6.483389074693423,1.0,1,5.906666666666666
gamma,1.5,3.5,19,6.183745819397993,1.0,1,6.696666666666666
gamma,1.5,4.0,19,5.961872909698997,1.0,1,7.34
gamma,1.5,4.5,19,5.861672240802676,1.0,1,7.946666666666666
gamma,1.5,5.0,19,5.776410256410257,1.0,1,8.5
gamma,1.5,1.5,20,10.789832231825114,0.9366666666666666,0,3.2
gamma,1.5,2.0,20,7.958477508650519,0.9666666666666667,0,4.08
gamma,1.5,2.5,20,7.112625389138707,0.9833333333333333,0,4.863333333333333
gamma,1.5,3.0,20,6.8744265925473975,0.9933333333333333,0,5.526666666666666
gamma,1.5,3.5,20,6.719152731326645,1.0,1,6.17
gamma,1.5,4.0,20,6.354537346711259,1.0,1,6.983333333333333
gamma,1.5,4.5,20,6.1528205128205125,1.0,1,7.633333333333334
gamma,1.5,5.0,20,6.056187290969899,1.0,1,8.243333333333334
gamma,1.5,1.5,21,9.63560299349773,0.9533333333333334,0,3.4233333333333333
gamma,1.5,2.0,21,7.895122794880664,0.9833333333333333,0,4.163333333333333
gamma,1.5,2.5,21,7.050708426547352,0.9933333333333333,0,5.16
gamma,1.5,3.0,21,6.711973244147157,1.0,1,5.94
gamma,1.5,3.5,21,6.40247491638796,1.0,1,6.55
gamma,1.5,4.0,21,6.12,1.0,1,7.286666666666667
gamma,1.5,4.5,21,5.943344481605351,1.0,1,8.016666666666667
gamma,1.5,5.0,21,5.893311036789298,1.0,1,8.543333333333333
gamma,1.5,1.5,22,10.981603762091567,0.9566666666666667,0,2.986666666666667
gamma,1.5,2.0,22,9.235532752654814,0.9666666666666667,0,3.91
gamma,1.5,2.5,22,7.953042731566222,0.9933333333333333,0,4.723333333333334
gamma,1.5,3.0,22,7.240376198065139,0.9966666666666667,0,5.406666666666666
gamma,1.5,3.5,22,6.830576193575902,0.9966666666666667,0,6.206666666666667
gamma,1.5,4.0,22,6.59895400776638,0.9966666666666667,0,6.876666666666667
gamma,1.5,4.5,22,6.395322214989562,0.9966666666666667,0,7.3966666666666665
gamma,1.5,5.0,22,6.205128205128205,1.0,1,8.176666666666666
gamma,1.5,1.5,23,11.29084875017653,0.9733333333333334,0,3.183333333333333
gamma,1.5,2.0,23,7.734910627528077,0.9933333333333333,0,4.013333333333334
gamma,1.5,2.5,23,6.7833141255960046,0.9933333333333333,0,4.96
gamma,1.5,3.0,23,6.5223227312518235,0.9966666666666667,0,5.706666666666667
gamma,1.5,3.5,23,6.28133779264214,1.0,1,6.546666666666667
gamma,1.5,4.0,23,6.0832552954292085,1.0,1,7.426666666666667
gamma,1.5,4.5,23,5.941159420289855,1.0,1,8.11
gamma,1.5,5.0,23,5.859977703455964,1.0,1,8.57
gamma,1.5,1.5,24,8.846165841487661,0.7566666666666667,0,2.99
gamma,1.5,2.0,24,8.082808716707023,0.9833333333333333,0,3.72
gamma,1.5,2.5,24,7.1866220735785955,1.0,1,4.596666666666667
gamma,1.5,3.0,24,6.843411371237458,1.0,1,5.37
gamma,1.5,3.5,24,6.714448160535117,1.0,1,6.173333333333333
gamma,1.5,4.0,24,6.445752508361204,1.0,1,7.01
gamma,1.5,4.5,24,6.338795986622074,1.0,1,7.663333333333333
gamma,1.5,5.0,24,6.250568561872909,1.0,1,8.26
gamma,2.0,1.5,0,9.787200395354583,0.95,0,3.066666666666667
n,300,1.5,0,9.787200395354583,0.95,0,3.066666666666667
gamma,2.0,2.0,0,7.814989046466044,0.9833333333333333,0,3.9766666666666666
n,300,2.0,0,7.814989046466044,0.9833333333333333,0,3.9766666666666666
gamma,2.0,2.5,0,7.505105908584169,1.0,1,4.85
n,300,2.5,0,7.505105908584169,1.0,1,4.85
gamma,2.0,3.0,0,7.231950947603122,1.0,1,5.6066666666666665
n,300,3.0,0,7.231950947603122,1.0,1,5.6066666666666665
gamma,2.0,3.5,0,7.018639910813824,1.0,1,6.256666666666667
n,300,3.5,0,7.018639910813824,1.0,1,6.256666666666667
gamma,2.0,4.0,0,6.64345596432553,1.0,1,7.013333333333334
n,300,4.0,0,6.64345596432553,1.0,1,7.013333333333334
gamma,2.0,4.5,0,6.383010033444816,1.0,1,7.666666666666667
n,300,4.5,0,6.383010033444816,1.0,1,7.666666666666667
gamma,2.0,5.0,0,6.223857302118172,1.0,1,8.263333333333334
n,300,5.0,0,6.223857302118172,1.0,1,8.263333333333334
gamma,2.0,1.5,1,9.716350902397414,0.8633333333333333,0,3.1233333333333335
n,300,1.5,1,9.716350902397414,0.8633333333333333,0,3.1233333333333335
gamma,2.0,2.0,1,8.722789738891434,0.9866666666666667,0,4.016666666666667
n,300,2.0,1,8.722789738891434,0.9866666666666667,0,4.016666666666667
gamma,2.0,2.5,1,7.270429520429521,0.99,0,4.846666666666667
n,300,2.5,1,7.270429520429521,0.99,0,4.846666666666667
gamma,2.0,3.0,1,6.896120037059634,0.9933333333333333,0,5.493333333333333
n,300,3.0,1,6.896120037059634,0.9933333333333333,0,5.493333333333333
gamma,2.0,3.5,1,6.61536231884058,1.0,1,6.323333333333333
n,300,3.5,1,6.61536231884058,1.0,1,6.323333333333333
gamma,2.0,4.0,1,6.512263099219621,1.0,1,6.973333333333334
n,300,4.0,1,6.512263099219621,1.0,1,6.973333333333334
gamma,2.0,4.5,1,6.3249052396878485,1.0,1,7.676666666666667
n,300,4.5,1,6.3249052396878485,1.0,1,7.676666666666667
gamma,2.0,5.0,1,6.1804682274247495,1.0,1,8.243333333333334
n,300,5.0,1,6.1804682274247495,1.0,1,8.243333333333334
gamma,2.0,1.5,2,8.302914642609299,0.44,0,2.88
n,300,1.5,2,8.302914642609299,0.44,0,2.88
gamma,2.0,2.0,2,10.070632998962298,0.9833333333333333,0,3.6766666666666667
n,300,2.0,2,10.070632998962298,0.9833333333333333,0,3.6766666666666667
gamma,2.0,2.5,2,8.736257443884563,0.9866666666666667,0,4.576666666666667
n,300,2.5,2,8.736257443884563,0.9866666666666667,0,4.576666666666667
gamma,2.0,3.0,2,7.751282051282051,1.0,1,5.24
n,300,3.0,2,7.751282051282051,1.0,1,5.24
gamma,2.0,3.5,2,7.013734671125976,1.0,1,5.983333333333333
n,300,3.5,2,7.013734671125976,1.0,1,5.983333333333333
gamma,2.0,4.0,2,6.7732441471571905,1.0,1,6.693333333333333
n,300,4.0,2,6.7732441471571905,1.0,1,6.693333333333333
gamma,2.0,4.5,2,6.540423634336678,1.0,1,7.293333333333333
n,300,4.5,2,6.540423634336678,1.0,1,7.293333333333333
gamma,2.0,5.0,2,6.231460423634337,1.0,1,7.836666666666667
n,300,5.0,2,6.231460423634337,1.0,1,7.836666666666667
gamma,2.0,1.5,3,10.088239466591006,0.8866666666666667,0,3.1033333333333335
n,300,1.5,3,10.088239466591006,0.8866666666666667,0,3.1033333333333335
gamma,2.0,2.0,3,9.221953188054883,0.9833333333333333,0,4.023333333333333
n,300,2.0,3,9.221953188054883,0.9833333333333333,0,4.023333333333333
gamma,2.0,2.5,3,7.496014658726523,0.9866666666666667,0,4.816666666666666
n,300,2.5,3,7.496014658726523,0.9866666666666667,0,4.816666666666666
gamma,2.0,3.0,3,6.872285845167201,0.9866666666666667,0,5.443333333333333
n,300,3.0,3,6.872285845167201,0.9866666666666667,0,5.443333333333333
gamma,2.0,3.5,3,6.5497997997998,0.99,0,6.336666666666667
n,300,3.5,3,6.5497997997998,0.99,0,6.336666666666667
gamma,2.0,4.0,3,6.259108138238573,1.0,1,7.126666666666667
n,300,4.0,3,6.259108138238573,1.0,1,7.126666666666667
gamma,2.0,4.5,3,6.141917502787068,1.0,1,7.71
n,300,4.5,3,6.141917502787068,1.0,1,7.71
gamma,2.0,5.0,3,5.935094760312151,1.0,1,8.383333333333333
n,300,5.0,3,5.935094760312151,1.0,1,8.383333333333333
gamma,2.0,1.5,4,8.832865376089847,0.6733333333333333,0,2.9066666666666667
n,300,1.5,4,8.832865376089847,0.6733333333333333,0,2.9066666666666667
gamma,2.0,2.0,4,9.38291248702871,0.9833333333333333,0,3.7933333333333334
n,300,2.0,4,9.38291248702871,0.9833333333333333,0,3.7933333333333334
gamma,2.0,2.5,4,8.294448160535117,1.0,1,4.66
n,300,2.5,4,8.294448160535117,1.0,1,4.66
gamma,2.0,3.0,4,7.305975473801561,1.0,1,5.37
n,300,3.0,4,7.305975473801561,1.0,1,5.37
gamma,2.0,3.5,4,6.934938684503902,1.0,1,6.0633333333333335
n,300,3.5,4,6.934938684503902,1.0,1,6.0633333333333335
gamma,2.0,4.0,4,6.666220735785953,1.0,1,6.6
n,300,4.0,4,6.666220735785953,1.0,1,6.6
gamma,2.0,4.5,4,6.443812709030101,1.0,1,7.273333333333333
n,300,4.5,4,6.443812709030101,1.0,1,7.273333333333333
gamma,2.0,5.0,4,6.268338907469342,1.0,1,7.93
n,300,5.0,4,6.268338907469342,1.0,1,7.93
gamma,2.0,1.5,5,8.784426877470356,0.92,0,3.2333333333333334
n,300,1.5,5,8.784426877470356,0.92,0,3.2333333333333334
gamma,2.0,2.0,5,7.727199354317999,0.9833333333333333,0,4.113333333333333
n,300,2.0,5,7.727199354317999,0.9833333333333333,0,4.113333333333333
gamma,2.0,2.5,5,7.187625697692812,0.9933333333333333,0,4.956666666666667
n,300,2.5,5,7.187625697692812,0.9933333333333333,0,4.956666666666667
gamma,2.0,3.0,5,6.716325110547462,0.9966666666666667,0,5.703333333333333
n,300,3.0,5,6.716325110547462,0.9966666666666667,0,5.703333333333333
gamma,2.0,3.5,5,6.579531772575251,1.0,1,6.43
n,300,3.5,5,6.579531772575251,1.0,1,6.43
gamma,2.0,4.0,5,6.418595317725752,1.0,1,7.083333333333333
n,300,4.0,5,6.418595317725752,1.0,1,7.083333333333333
gamma,2.0,4.5,5,6.2042140468227425,1.0,1,7.773333333333333
n,300,4.5,5,6.2042140468227425,1.0,1,7.773333333333333
gamma,2.0,5.0,5,6.126956521739131,1.0,1,8.36
n,300,5.0,5,6.126956521739131,1.0,1,8.36
gamma,2.0,1.5,6,9.77652944539737,0.8833333333333333,0,3.07
n,300,1.5,6,9.77652944539737,0.8833333333333333,0,3.07
gamma,2.0,2.0,6,7.987409200968523,0.9833333333333333,0,3.8966666666666665
n,300,2.0,6,7.987409200968523,0.9833333333333333,0,3.8966666666666665
gamma,2.0,2.5,6,7.451482720178372,1.0,1,4.793333333333333
n,300,2.5,6,7.451482720178372,1.0,1,4.793333333333333
gamma,2.0,3.0,6,7.115964325529543,1.0,1,5.5633333333333335
n,300,3.0,6,7.115964325529543,1.0,1,5.5633333333333335
gamma,2.0,3.5,6,6.918260869565217,1.0,1,6.193333333333333
n,300,3.5,6,6.918260869565217,1.0,1,6.193333333333333
gamma,2.0,4.0,6,6.6289632107023415,1.0,1,6.85
n,300,4.0,6,6.6289632107023415,1.0,1,6.85
gamma,2.0,4.5,6,6.45603121516165,1.0,1,7.55
n,300,4.5,6,6.45603121516165,1.0,1,7.55
gamma,2.0,5.0,6,6.36989966555184,1.0,1,8.113333333333333
n,300,5.0,6,6.36989966555184,1.0,1,8.113333333333333
gamma,2.0,1.5,7,12.41093405881591,0.83,0,2.8266666666666667
n,300,1.5,7,12.41093405881591,0.83,0,2.8266666666666667
gamma,2.0,2.0,7,9.243834743834745,0.99,0,3.63
n,300,2.0,7,9.243834743834745,0.99,0,3.63
gamma,2.0,2.5,7,8.438907469342253,1.0,1,4.403333333333333
n,300,2.5,7,8.438907469342253,1.0,1,4.403333333333333
gamma,2.0,3.0,7,7.19056856187291,1.0,1,5.25
n,300,3.0,7,7.19056856187291,1.0,1,5.25
gamma,2.0,3.5,7,6.974693422519509,1.0,1,5.836666666666667
n,300,3.5,7,6.974693422519509,1.0,1,5.836666666666667
gamma,2.0,4.0,7,6.588494983277592,1.0,1,6.47
n,300,4.0,7,6.588494983277592,1.0,1,6.47
gamma,2.0,4.5,7,6.413690078037904,1.0,1,7.09
n,300,4.5,7,6.413690078037904,1.0,1,7.09
gamma,2.0,5.0,7,6.137569676700111,1.0,1,7.68
